det,des,id,img_idx,ttc_lidar,ttc_camera,ttc_diff
FAST,SIFT,97,8,13.1241,11.1,2.02412
FAST,SIFT,98,9,13.0241,11.9008,1.12328
FAST,SIFT,99,10,11.1746,13.3412,-2.16658
FAST,SIFT,100,11,12.8086,13.6717,-0.863051
FAST,SIFT,101,12,8.95978,10.7801,-1.82034
FAST,SIFT,102,13,9.96439,11.4955,-1.53113
FAST,SIFT,103,14,9.59863,12.5923,-2.99366
FAST,SIFT,104,15,8.52157,11.3035,-2.78196
FAST,SIFT,105,16,9.51552,11.3563,-1.84076
FAST,SIFT,106,17,9.61241,7.6097,2.00272
FAST,SIFT,107,18,8.3988,11.9301,-3.53132
BRISK,BRISK,108,1,12.5156,11.5527,0.962867
BRISK,BRISK,109,2,12.6142,28.4524,-15.8382
BRISK,BRISK,110,3,14.091,18.5561,-4.46509
BRISK,BRISK,111,4,16.6894,14.4255,2.26388
BRISK,BRISK,112,5,15.7465,40.0566,-24.31
BRISK,BRISK,113,6,12.7835,17.5157,-4.73217
BRISK,BRISK,114,7,11.9844,14.4225,-2.43813
BRISK,BRISK,115,8,13.1241,20.7027,-7.57857
BRISK,BRISK,116,9,13.0241,14.4525,-1.42837
BRISK,BRISK,117,10,11.1746,15.2958,-4.12114
BRISK,BRISK,118,11,12.8086,12.3895,0.419067
BRISK,BRISK,119,12,8.95978,13.1469,-4.18713
BRISK,BRISK,120,13,0,0,0
BRISK,BRISK,121,14,9.59863,11.1056,-1.50698
BRISK,BRISK,122,15,8.52157,13.3989,-4.8773
BRISK,BRISK,123,16,9.51552,11.9098,-2.39431
BRISK,BRISK,124,17,9.61241,14.4362,-4.8238
BRISK,BRISK,125,18,8.3988,12.4195,-4.02069
BRISK,BRIEF,126,1,12.5156,15.3593,-2.8437
BRISK,BRIEF,127,2,12.6142,21.4896,-8.87534
BRISK,BRIEF,128,3,14.091,14.5838,-0.492742
BRISK,BRIEF,129,4,16.6894,14.715,1.97434
BRISK,BRIEF,130,5,15.7465,27.9318,-12.1852
BRISK,BRIEF,131,6,12.7835,34.079,-21.2955
BRISK,BRIEF,132,7,11.9844,13.2899,-1.30552
BRISK,BRIEF,133,8,13.1241,13.2471,-0.122947
BRISK,BRIEF,134,9,13.0241,18.2111,-5.18693
BRISK,BRIEF,135,10,11.1746,11.7359,-0.561248
BRISK,BRIEF,136,11,12.8086,11.9634,0.845193
BRISK,BRIEF,137,12,8.95978,12.8738,-3.91405
BRISK,BRIEF,138,13,9.96439,10.5723,-0.607898
BRISK,BRIEF,139,14,9.59863,11.3356,-1.73694
BRISK,BRIEF,140,15,8.52157,11.6675,-3.14598
BRISK,BRIEF,141,16,9.51552,14.1101,-4.59456
BRISK,BRIEF,142,17,9.61241,9.2872,0.325211
BRISK,BRIEF,143,18,8.3988,11.7615,-3.36273
BRISK,ORB,144,1,12.5156,12.6395,-0.123862
BRISK,ORB,145,2,12.6142,13.5465,-0.932276
BRISK,ORB,146,3,14.091,14.9702,-0.879225
BRISK,ORB,147,4,16.6894,15.0253,1.6641
BRISK,ORB,148,5,15.7465,13.2022,2.54439
BRISK,ORB,149,6,12.7835,15.2341,-2.45064
BRISK,ORB,150,7,11.9844,13.67,-1.68567
BRISK,ORB,151,8,13.1241,19.4719,-6.34782
BRISK,ORB,152,9,13.0241,16.7501,-3.72596
BRISK,ORB,153,10,11.1746,11.1502,0.0244112
BRISK,ORB,154,11,12.8086,11.4289,1.37972
BRISK,ORB,155,12,8.95978,12.2916,-3.33178
BRISK,ORB,156,13,0,0,0
BRISK,ORB,157,14,9.59863,11.2881,-1.68944
BRISK,ORB,158,15,8.52157,11.7942,-3.27263
BRISK,ORB,159,16,9.51552,11.3972,-1.8817
BRISK,ORB,160,17,9.61241,8.91747,0.694947
BRISK,ORB,161,18,8.3988,11.5529,-3.1541
BRISK,FREAK,162,1,12.5156,12.36,0.155646
BRISK,FREAK,163,2,12.6142,13.3905,-0.776236
BRISK,FREAK,164,3,14.091,14.8034,-0.712349
BRISK,FREAK,165,4,16.6894,16.5104,0.178959
BRISK,FREAK,166,5,15.7465,12.7303,3.01625
BRISK,FREAK,167,6,12.7835,17.7318,-4.94827
BRISK,FREAK,168,7,11.9844,13.9373,-1.95298
BRISK,FREAK,169,8,13.1241,18.2172,-5.09309
BRISK,FREAK,170,9,13.0241,14.9187,-1.89455
BRISK,FREAK,171,10,11.1746,11.754,-0.579313
BRISK,FREAK,172,11,12.8086,12.704,0.104614
